#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 14 05 15 00 1 4431.886
2011 03 14 05 00 00 1 4431.903
2011 03 14 04 45 00 1 4431.915
2011 03 14 04 30 00 1 4431.945
2011 03 14 04 15 00 1 4431.955
2011 03 14 04 00 00 1 4431.970
2011 03 14 03 45 00 1 4431.976
2011 03 14 03 30 00 1 4431.980
2011 03 14 03 15 00 1 4431.983
2011 03 14 03 00 00 1 4431.993
2011 03 14 02 45 00 1 4431.999
2011 03 14 02 30 00 1 4431.996
2011 03 14 02 15 00 1 4431.988
2011 03 14 02 00 00 1 4431.985
2011 03 14 01 45 00 1 4431.985
2011 03 14 01 30 00 1 4431.981
2011 03 14 01 15 00 1 4431.977
2011 03 14 01 00 00 1 4431.963
2011 03 14 00 45 00 1 4431.942
2011 03 14 00 30 00 1 4431.927
2011 03 14 00 15 00 1 4431.930
2011 03 14 00 00 00 1 4431.914
2011 03 13 23 45 00 1 4431.911
2011 03 13 23 30 00 1 4431.894
2011 03 13 23 15 00 1 4431.900
2011 03 13 23 00 00 1 4431.893
2011 03 13 22 45 00 1 4431.896
2011 03 13 22 30 00 1 4431.888
2011 03 13 22 15 00 1 4431.888
2011 03 13 22 00 00 1 4431.871
2011 03 13 21 45 00 1 4431.874
2011 03 13 21 30 00 1 4431.869
2011 03 13 21 15 00 1 4431.880
2011 03 13 21 00 00 1 4431.887
2011 03 13 20 45 00 1 4431.892
2011 03 13 20 30 00 1 4431.873
2011 03 13 20 15 00 1 4431.892
2011 03 13 20 00 00 1 4431.883
2011 03 13 19 45 00 1 4431.885
2011 03 13 19 30 00 1 4431.876
2011 03 13 19 15 00 1 4431.897
2011 03 13 19 00 00 1 4431.888
2011 03 13 18 45 00 1 4431.909
2011 03 13 18 30 00 1 4431.914
2011 03 13 18 15 00 1 4431.897
2011 03 13 18 00 00 1 4431.904
2011 03 13 17 45 00 1 4431.913
2011 03 13 17 30 00 1 4431.909
2011 03 13 17 15 00 1 4431.893
2011 03 13 17 00 00 1 4431.899
2011 03 13 16 45 00 1 4431.880
2011 03 13 16 30 00 1 4431.870
2011 03 13 16 15 00 1 4431.864
2011 03 13 16 00 00 1 4431.865
2011 03 13 15 45 00 1 4431.823
2011 03 13 15 30 00 1 4431.796
2011 03 13 15 15 00 1 4431.776
2011 03 13 15 00 00 1 4431.765
2011 03 13 14 45 00 1 4431.745
2011 03 13 14 30 00 1 4431.694
2011 03 13 14 15 00 1 4431.676
2011 03 13 14 00 00 1 4431.641
2011 03 13 13 45 00 1 4431.626
2011 03 13 13 30 00 1 4431.590
2011 03 13 13 15 00 1 4431.558
2011 03 13 13 00 00 1 4431.530
2011 03 13 12 45 00 1 4431.502
