#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 12 13 09 00 2 5736.806
2011 03 12 13 08 00 2 5736.810
2011 03 12 13 07 00 2 5760.007
2011 03 12 13 06 00 2 5736.800
2011 03 12 13 05 00 2 5736.805
2011 03 12 13 04 00 2 5760.096
2011 03 12 13 03 00 2 5736.809
2011 03 12 13 02 00 2 5736.812
2011 03 12 13 01 00 2 5757.491
2011 03 12 13 00 00 2 5736.817
2011 03 12 12 59 00 2 5736.821
2011 03 12 12 58 00 2 5736.826
2011 03 12 12 57 00 2 5736.828
2011 03 12 12 56 00 2 5736.824
2011 03 12 12 55 00 2 5736.819
2011 03 12 12 54 00 2 5736.825
2011 03 12 12 53 00 2 5736.830
2011 03 12 12 52 00 2 5736.831
2011 03 12 12 51 00 2 5736.829
2011 03 12 12 50 00 2 5736.826
2011 03 12 12 49 00 2 5736.827
2011 03 12 12 48 00 2 5736.826
2011 03 12 12 47 00 2 5736.819
2011 03 12 12 46 00 2 5736.812
2011 03 12 12 45 00 2 5736.809
2011 03 12 12 44 00 2 5736.808
2011 03 12 12 43 00 2 5736.803
2011 03 12 12 42 00 2 5736.796
2011 03 12 12 41 00 2 5736.800
2011 03 12 12 40 00 2 5736.804
2011 03 12 12 39 00 2 5736.799
2011 03 12 12 38 00 2 5736.800
2011 03 12 12 37 00 2 5736.803
2011 03 12 12 36 00 2 5736.802
2011 03 12 12 35 00 2 5736.804
2011 03 12 12 34 00 2 5736.810
2011 03 12 12 33 00 2 5736.815
2011 03 12 12 32 00 2 5736.814
2011 03 12 12 31 00 2 5736.814
2011 03 12 12 30 00 2 5736.818
2011 03 12 12 29 00 2 5736.816
2011 03 12 12 28 00 2 5736.817
2011 03 12 12 27 00 2 5736.815
2011 03 12 12 26 00 2 5736.817
2011 03 12 12 25 00 2 5736.819
2011 03 12 12 24 00 2 5736.825
2011 03 12 12 23 00 2 5736.832
2011 03 12 12 22 00 2 5736.834
2011 03 12 12 21 00 2 5736.831
2011 03 12 12 20 00 2 5736.831
2011 03 12 12 19 00 2 5736.832
2011 03 12 12 18 00 2 5736.832
2011 03 12 12 17 00 2 5736.831
2011 03 12 12 16 00 2 5736.824
2011 03 12 12 15 00 2 5736.815
2011 03 12 12 14 00 2 5736.816
2011 03 12 12 13 00 2 5736.818
2011 03 12 12 12 00 2 5736.810
2011 03 12 12 11 00 2 5736.806
2011 03 12 12 10 00 2 5736.806
2011 03 12 12 09 00 2 5736.807
2011 03 12 12 08 00 2 5736.813
2011 03 12 12 07 00 2 5754.519
2011 03 12 12 06 00 2 5736.808
2011 03 12 12 05 00 2 5736.807
2011 03 12 12 04 00 2 5753.489
2011 03 12 12 03 00 2 5736.807
2011 03 12 12 02 00 2 5736.810
2011 03 12 12 01 00 2 5755.257
2011 03 12 12 00 00 2 5736.797
2011 03 12 11 59 00 2 5736.792
2011 03 12 11 58 00 2 5736.799
2011 03 12 11 57 00 2 5736.799
2011 03 12 11 56 00 2 5736.803
2011 03 12 11 55 00 2 5736.806
